timestamp,message
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.internal.Errors$1.call(Errors.java:248)
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.internal.Errors$1.call(Errors.java:244)
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.internal.Errors.process(Errors.java:292)
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.internal.Errors.process(Errors.java:274)
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.internal.Errors.process(Errors.java:244)
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.process.internal.RequestScope.runInScope(RequestScope.java:265)
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.server.ServerRuntime.process(ServerRuntime.java:232)
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.server.ApplicationHandler.handle(ApplicationHandler.java:680)
1713314366000,[Worker-0727268c5db505304] 	at org.glassfish.jersey.servlet.WebComponent.serviceImpl(WebComponent.java:394)
1713314366000,[Worker-0727268c5db505304] 	... 39 more
1713314366000,[Worker-0727268c5db505304] Caused by: java.lang.NoClassDefFoundError: Could not initialize class com.mongodb.kafka.connect.source.MongoSourceConfig
1713314366000,[Worker-0727268c5db505304] 	at com.mongodb.kafka.connect.MongoSourceConnector.config(MongoSourceConnector.java:96)
1713314366000,[Worker-0727268c5db505304] 	at org.apache.kafka.connect.runtime.AbstractHerder.validateConnectorConfig(AbstractHerder.java:366)
1713314366000,[Worker-0727268c5db505304] 	at org.apache.kafka.connect.runtime.AbstractHerder.lambda$validateConnectorConfig$1(AbstractHerder.java:326)
1713314366000,[Worker-0727268c5db505304] 	at java.base/java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515)
1713314366000,[Worker-0727268c5db505304] 	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264)
1713314366000,[Worker-0727268c5db505304] 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
1713314366000,[Worker-0727268c5db505304] 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
1713314366000,[Worker-0727268c5db505304] 	... 1 more
